"Story","Title","Result","Date","Stability","Duration (s)"
"LT-273 Text View of Incidents","Text View - Home page","SUCCESS","2020-05-18T12:00:24.565+10:00[Australia/Sydney]","0.0","10.03"
"LT-273 Text View of Incidents","Text View - Map filter Incidents icons in right order","SUCCESS","2020-05-18T12:00:34.605+10:00[Australia/Sydney]","0.0","8.69"
"LT-273 Text View of Incidents","Text View - Refresh Data Time Stamp and Toggle","SUCCESS","2020-05-18T12:00:43.309+10:00[Australia/Sydney]","0.0","67.67"
"LT-273 Text View of Incidents","Incident filters for text view list","SUCCESS","2020-05-18T12:01:50.992+10:00[Australia/Sydney]","0.0","26.16"
"LT-273 Text View of Incidents","Text View - Ended Incident details","SUCCESS","2020-05-18T12:02:17.166+10:00[Australia/Sydney]","0.0","14.38"
"LT-273 Text View of Incidents","Text View - Accordion Functionality for incident cards","SUCCESS","2020-05-18T12:02:31.574+10:00[Australia/Sydney]","0.0","26.06"
"LT-273 Text View of Incidents","All Sydney and All Regional filters","ERROR","2020-05-18T12:02:57.674+10:00[Australia/Sydney]","0.0","83.68"
"LT-273 Text View of Incidents","All Sydney - Sub location filters","SUCCESS","2020-05-18T12:04:21.362+10:00[Australia/Sydney]","0.0","20.62"
"LT-273 Text View of Incidents","All Regional - Sub location filters","SUCCESS","2020-05-18T12:04:41.995+10:00[Australia/Sydney]","0.0","19.7"
"LT-396 Current and Future incident list","Verify Unplanned incident details in text view Traffic Hazard page","SUCCESS","2020-05-18T12:05:01.713+10:00[Australia/Sydney]","0.0","27.53"
"LT-396 Current and Future incident list","Verify Planned incident details in text view Traffic Hazard page","SUCCESS","2020-05-18T12:05:29.278+10:00[Australia/Sydney]","0.0","27.13"
"LT-396 Current and Future incident list","Verify Major event details in text view Traffic Hazard page","SUCCESS","2020-05-18T12:05:56.425+10:00[Australia/Sydney]","0.0","30.37"
