"Story","Title","Result","Date","Stability","Duration (s)"
"LT-56 Traffic Camera LHS panel","Viewing Selected Camera output","SUCCESS","2020-05-18T12:11:22.709+10:00[Australia/Sydney]","0.0","18.55"
"LT-56 Traffic Camera LHS panel","View Camera Region - Inner Sydney","SUCCESS","2020-05-18T12:11:41.278+10:00[Australia/Sydney]","0.0","12.04"
"LT-56 Traffic Camera LHS panel","View Camera Region - Sydney North","SUCCESS","2020-05-18T12:11:53.331+10:00[Australia/Sydney]","0.0","11.55"
"LT-56 Traffic Camera LHS panel","View Camera Region - Sydney West","SUCCESS","2020-05-18T12:12:04.908+10:00[Australia/Sydney]","0.0","10.65"
"LT-56 Traffic Camera LHS panel","View Camera Region - Sydney South","SUCCESS","2020-05-18T12:12:15.581+10:00[Australia/Sydney]","0.0","11.34"
"LT-56 Traffic Camera LHS panel","View Camera Region - Regional North","SUCCESS","2020-05-18T12:12:26.935+10:00[Australia/Sydney]","0.0","11.27"
"LT-56 Traffic Camera LHS panel","View Camera Region - Regional South","SUCCESS","2020-05-18T12:12:38.222+10:00[Australia/Sydney]","0.0","10.65"
"LT-56 Traffic Camera LHS panel","View Camera Region - All Regional","SUCCESS","2020-05-18T12:12:48.884+10:00[Australia/Sydney]","0.0","13.12"
"LT-56 Traffic Camera LHS panel","View Camera Region - All NSW","SUCCESS","2020-05-18T12:13:02.021+10:00[Australia/Sydney]","0.0","15.83"
"LT-56 Traffic Camera LHS panel","View Camera Region - All Sydney","SUCCESS","2020-05-18T12:13:17.863+10:00[Australia/Sydney]","0.0","16.09"
"LT-62 View Live Traffic Camera","Place webcamera icons on map","SUCCESS","2020-05-18T12:13:33.974+10:00[Australia/Sydney]","0.0","14.62"
"LT-62 View Live Traffic Camera","Tag each camera feed with the relevant URI","SUCCESS","2020-05-18T12:13:48.633+10:00[Australia/Sydney]","0.0","10.61"
"LT-82 Live Traffic Camera Feed Refresh","Request to refresh camera feed","SUCCESS","2020-05-18T12:13:59.266+10:00[Australia/Sydney]","0.0","75.26"
"LT-82 Live Traffic Camera Feed Refresh","Update refresh time stamp on Map screen","SUCCESS","2020-05-18T12:15:14.574+10:00[Australia/Sydney]","0.0","64.03"
