"Story","Title","Result","Date","Stability","Duration (s)"
"LT-3 Main Menu","Verify display of menu items and page footers","SUCCESS","2020-05-18T12:06:36.576+10:00[Australia/Sydney]","0.0","6.59"
"LT-3 Main Menu","Verify display of options in the homepage side menu bar","SUCCESS","2020-05-18T12:06:43.189+10:00[Australia/Sydney]","0.0","7.18"
"LT-3 Main Menu","Navigate to Live Traffic NSW - Facebook","SUCCESS","2020-05-18T12:06:50.378+10:00[Australia/Sydney]","0.0","30.85"
"LT-3 Main Menu","Navigate to Live Traffic Sydney - Twitter","SUCCESS","2020-05-18T12:07:21.25+10:00[Australia/Sydney]","0.0","8.89"
"LT-3 Main Menu","Navigate to Live Traffic NSW - Twitter","SUCCESS","2020-05-18T12:07:30.165+10:00[Australia/Sydney]","0.0","8.92"
"LT-3 Main Menu","Navigate to Online Privacy Page","SUCCESS","2020-05-18T12:07:39.106+10:00[Australia/Sydney]","0.0","9.07"
"LT-3 Main Menu","Navigate to Copyright Page","SUCCESS","2020-05-18T12:07:48.205+10:00[Australia/Sydney]","0.0","8.77"
"LT-3 Main Menu","Navigate to Transport for NSW Home page from LiveTraffic Website","SUCCESS","2020-05-18T12:07:57.003+10:00[Australia/Sydney]","0.0","9.5"
"LT-3 Main Menu","Navigate to Terms and Condition Page","SUCCESS","2020-05-18T12:08:06.522+10:00[Australia/Sydney]","0.0","5.5"
"LT-3 Main Menu","Navigate to Help Page","SUCCESS","2020-05-18T12:08:12.035+10:00[Australia/Sydney]","0.0","5.47"
"LT-3 Main Menu","Map Native Controls","SUCCESS","2020-05-18T12:08:17.517+10:00[Australia/Sydney]","0.0","3.63"
