"Story","Title","Result","Date","Stability","Duration (s)"
"LT-15 Incident Details","Incident title and Incident type label","SUCCESS","2020-05-18T12:09:19.267+10:00[Australia/Sydney]","0.0","11.08"
"LT-15 Incident Details","Show incident summary card","SUCCESS","2020-05-18T12:09:30.372+10:00[Australia/Sydney]","0.0","12.62"
"LT-15 Incident Details","Show traffic condition and impact","SUCCESS","2020-05-18T12:09:43.012+10:00[Australia/Sydney]","0.0","11.77"
"LT-15 Incident Details","Incident started and last checked day date and time details","SUCCESS","2020-05-18T12:09:54.809+10:00[Australia/Sydney]","0.0","12.13"
"LT-15 Incident Details","Planned incident - impact on lanes and roads","SUCCESS","2020-05-18T12:10:06.955+10:00[Australia/Sydney]","0.0","10.06"
"LT-15 Incident Details","Unplanned incident - impact on lanes and roads","SUCCESS","2020-05-18T12:10:17.031+10:00[Australia/Sydney]","0.0","10.03"
"LT-15 Incident Details","Public Transport Diversion and Other Advice","SUCCESS","2020-05-18T12:10:27.086+10:00[Australia/Sydney]","0.0","10.04"
"LT-15 Incident Details","Traffic advice snippets","SUCCESS","2020-05-18T12:10:37.157+10:00[Australia/Sydney]","0.0","10.21"
"LT-15 Incident Details","Traffic arrangements accordions","SUCCESS","2020-05-18T12:10:47.388+10:00[Australia/Sydney]","0.0","16.43"
"LT-15 Incident Details","Traffic advice info","SUCCESS","2020-05-18T12:11:03.843+10:00[Australia/Sydney]","0.0","18.82"
